timestamp;eventTime;date;hour;service;requests;unique_events;cost
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;cloudtrail;23;3;0.00009200
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;ec2;1826;46;0.00730400
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;elb;91;1;0.00036400
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;iam;1353;25;0.00541200
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;lambda;280;8;0.00112000
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;logs;42;3;0.00016800
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;rds;4;1;0.00001600
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;s3;1466;19;0.00586400
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;sns;71;2;0.00028400
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;sts;205;2;0.00082000
2017-02-01 00:00:00;2017-02-01 00:00:00;2017-02-01;0;unknown;2176;94;0.00870400
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;cloudtrail;88;2;0.00035200
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;dynamodb;1;1;0.00000400
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;ec2;4757;88;0.01902800
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;elb;82;1;0.00032800
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;iam;1222;24;0.00488800
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;lambda;169;4;0.00067600
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;logs;204;2;0.00081600
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;rds;35;1;0.00014000
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;s3;1086;15;0.00434400
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;sns;53;1;0.00021200
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;sqs;4;1;0.00001600
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;sts;1217;2;0.00486800
2017-03-01 00:00:00;2017-03-01 00:00:00;2017-03-01;0;unknown;732;77;0.00292800
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;cloudtrail;19;2;0.00007600
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;ec2;771;23;0.00308400
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;iam;112;11;0.00044800
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;lambda;18;3;0.00007200
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;logs;39;1;0.00015600
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;rds;1;1;0.00000400
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;s3;77;5;0.00030800
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;sns;1;1;0.00000400
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;sts;834;2;0.00333600
2017-04-01 00:00:00;2017-04-01 00:00:00;2017-04-01;0;unknown;69;20;0.00027600
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;cloudtrail;1122;2;0.00448800
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;ec2;7201;71;0.02880400
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;elb;441;1;0.00176400
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;iam;7525;24;0.03010000
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;lambda;179;1;0.00071600
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;logs;117;3;0.00046800
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;rds;242;1;0.00096800
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;s3;4132;15;0.01652800
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;sns;243;1;0.00097200
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;sts;5595;2;0.02238000
2017-05-01 00:00:00;2017-05-01 00:00:00;2017-05-01;0;unknown;1852;51;0.00740800
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;cloudtrail;25;1;0.00010000
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;dynamodb;1;1;0.00000400
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;ec2;1337;33;0.00534800
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;elb;52;1;0.00020800
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;iam;256;18;0.00102400
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;lambda;48;2;0.00019200
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;logs;84;2;0.00033600
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;rds;23;1;0.00009200
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;s3;251;4;0.00100400
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;sns;19;1;0.00007600
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;sts;1657;2;0.00662800
2017-06-01 00:00:00;2017-06-01 00:00:00;2017-06-01;0;unknown;354;39;0.00141600
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;cloudtrail;60;2;0.00024000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;ec2;1325;38;0.00530000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;elb;70;1;0.00028000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;iam;440;20;0.00176000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;lambda;65;2;0.00026000
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;logs;64;2;0.00025600
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;rds;61;1;0.00024400
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;s3;298;15;0.00119200
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;sns;56;1;0.00022400
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;sts;1658;2;0.00663200
2017-07-01 00:00:00;2017-07-01 00:00:00;2017-07-01;0;unknown;341;42;0.00136400
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;cloudtrail;31;3;0.00012400
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;ec2;1284;36;0.00513600
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;elb;43;1;0.00017200
2017-08-01 00:00:00;2017-08-01 00:00:00;2017-08-01;0;iam;402;20;0.00160800
